data_resource_uid	dcterms:license	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	sex	reproductiveCondition	establishmentMeans	occurrenceStatus	occurrenceRemarks	eventID	eventDate	year	month	samplingProtocol	locationID	country	countryCode	stateProvince	locality	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	georeference_verification_status	identificationQualifier	typeStatus	identifiedBy	dateIdentified	taxonConceptID	scientificName	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	species	verbatimIdentificationQualifier	recordID	dcterms:accessRights	verbatimBasisOfRecord	Temperature - annual max mean	Temperature - annual min mean	Temperature - annual range	Precipitation - annual mean	Radiation - annual mean (Bio20)	Elevation 	Enhanced Vegetation Index (2012-03-05)	Moisture Index - annual mean (Bio28)	Nutrient status	Ph - soil
drt25826				Koalas										present								Australia		New South Wales							-34.2126829	150.7868351		-34.2126829	150.7868351			Not provided																		ee9cbfba-d071-4479-81ca-e7acb2ecb30d			21.0425	9.914166	22.0	76.91771	16.8	242.0	0.3727	0.66	1.55	4.0
drt25826				Koalas										present								Australia		Queensland							-26.2031349	152.4387302		-26.2031349	152.4387302			Not provided																		ee84b8e7-277c-431e-a90a-8dd7652ce0b1			26.525	13.195833	24.0	82.55951	18.4	100.0	0.4387	0.57	1.0	5.0
drt25826				Koalas										present								Australia		Queensland							-27.1633579	151.4829279		-27.1633579	151.4829279			Not provided																		ee21c22d-0718-45df-b218-bc95e0dfe92c			25.154167	10.373333	27.187073	52.32255	19.3	420.0	0.242	0.33	2.0	6.0
drt25826				Koalas										present								Australia		New South Wales							-36.0267360831415	149.408202817969		-36.0267360831415	149.408202817969			Not provided																		ed68fc07-d903-4d66-9224-8c186303c90d			15.671667	3.3791666	24.991852	65.748665	16.5	1029.0	0.3855	0.63	1.4	4.0
drt25826				Koalas										present								Australia		New South Wales							-34.133855	150.795185		-34.133855	150.795185			Not provided																		ed19c372-57ae-4e62-b8d0-ee3566a0edc5			21.799168	10.109167	23.0	70.91934	16.9	149.0	0.3826	0.62	1.55	4.0
drt25826				Koalas										present								Australia		Queensland							-26.7391	153.064		-26.7391	153.064			Not provided																		eccbb035-b11a-4688-a9f8-ef0e0cd82fa5			24.630001	14.961667	19.200012	140.61409	17.2	21.0	0.395	0.88	1.0	4.0
drt25826				Koalas										present								Australia		New South Wales							-28.6675	153.5225		-28.6675	153.5225			Not provided																		ecb0755a-11e1-4e0a-b7c1-c96b7a701e63			23.380833	14.410833	19.767181	154.25171	16.7	108.0	0.5176	0.92	1.8	4.0
drt25826				Koalas										present								Australia		Queensland							-26.3968458	153.024601		-26.3968458	153.024601			Not provided																		eca9187d-4f16-4093-91db-23c638de756c			25.021667	14.771667	19.699982	141.21806	17.4	13.0	0.347	0.87	1.0	4.0
drt25826				Koalas										present								Australia		Victoria							-37.555094	149.73323		-37.555094	149.73323			Not provided																		ebd48507-187e-45d0-8a17-169b00775baa			17.845833	10.459167	16.100006	84.09108	15.3	62.0	0.4164	0.76	0.9	4.0
drt25826				Koalas										present								Australia		Queensland							-25.5384947	152.7034191		-25.5384947	152.7034191			Not provided																		eaf86376-eca9-4a5a-804d-ff24a9b10020			26.198334	15.484167	20.899994	95.89057	18.3	3.0	0.2545	0.62	1.05	4.0
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		ea90e52b-2636-4c1c-aac1-87879ed97fd5			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		New South Wales							-30.9855488893933	150.243011995726		-30.9855488893933	150.243011995726			Not provided																		e87a7a3a-5f44-4cd9-851f-e48896c2ad37			24.75	10.659166	29.399994	49.778355	18.4	264.0	0.3308	0.37	1.7	6.0
drt25826				Koalas										present								Australia		Queensland							-26.765	152.9622		-26.765	152.9622			Not provided																		e781e159-5a14-40d5-b52a-356c2ac97fbf			24.763332	14.385834	20.0	146.52257	17.3	82.0	0.3591	0.88	1.65	4.0
drt25826				Koalas										present								Australia		Queensland							-26.3178327	151.8727338		-26.3178327	151.8727338			Not provided																		e7227d46-5e2b-4561-a495-e213a91c390e			25.495834	11.5325	25.400024	63.79591	19.0	320.0	0.3554	0.42	1.05	5.0
drt25826				Koalas										present								Australia		Victoria							-38.7043519	146.087727		-38.7043519	146.087727			Not provided																		e6fe9a9d-10d3-4f80-a60f-a491844dec48			17.675	9.351666	18.577667	85.965454	14.4	58.0	0.531	0.79	1.0	4.0
drt25826				Koalas										present								Australia		Queensland							-27.9479072	153.3981772		-27.9479072	153.3981772			Not provided																		e6f039a3-9ea8-4d35-b7be-4c6f54c95ff9			24.638332	14.790833	20.360596	123.94719	17.3	6.0	0.2615	0.87	1.15	4.0
drt25826				Koalas										present								Australia		New South Wales							-34.018886	150.964625		-34.018886	150.964625			Not provided																		e6a32cdf-ea35-4def-9e31-c30d62ecdc41			22.116667	11.445	21.800018	79.54492	16.8	56.0	0.366	0.66	1.0	4.0
drt25826				Koalas										present								Australia		Victoria							-37.2326779999999	148.26029		-37.2326779999999	148.26029			Not provided																		e69a18bf-a527-4bcc-b2ec-f5bb12387e31			16.361668	4.2225	23.219482	76.53461	15.5	695.0	0.4063	0.8	1.75	4.0
